instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref	secs	solves	hop_queries	hop_computed
setA-01	15	929383	39	true	1	160	2	591378	551952	4.6	83	13775	110
setA-04	20	581237	29	true	10	500	11	350031	337894	17.3	144	41267	290
setA-06	46	101408	10	true	0	1000	1	101408	98591	80.8	128	147646	552
setA-10	50	152174	0	true	0	1932	1	152174	71739	80.6	95	114030	775
setA-13	34	42735	10	true	0	2000	1	42735	41025	80.2	46	101562	962
setA-15	42	898695	54	true	18	2500	19	350868	337125	31.3	142	41484	920
setA-16	9	143442	3	true	0	2904	1	143442	44262	82.0	9	66808	1043
setA-19	8	157845	3	true	0	3996	1	157845	46838	80.5	8	57050	1191
