instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref	secs	solves	hop_queries	hop_computed
setA-01	12	929383	28	true	1	160	2	591378	551952	4.5	72	13331	110
setA-04	15	581237	41	true	1	500	2	580858	580857	18.2	144	43407	291
setA-06	38	98591	13	true	4	1000	5	87323	84507	80.2	104	105608	543
setA-10	44	71739	0	true	1	1932	2	71739	67391	80.8	60	81092	765
setA-13	35	41025	10	true	4	2000	5	34188	27350	80.2	37	72490	928
setA-15	35	898695	52	true	18	2500	19	352449	337125	54.0	142	48125	958
setA-19	5	191569	0	true	0	3996	1	191569	46838	80.7	5	37384	1106
