instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref	secs	solves	hop_queries	hop_computed
setA-01	15	929383	39	true	1	160	2	591378	551952	4.4	83	13775	110
setA-04	20	581237	29	true	10	500	11	350031	337894	15.8	144	41267	290
setA-06	50	101408	12	true	0	1000	1	101408	98591	87.2	150	167764	565
setA-10	54	163043	0	true	0	1932	1	163043	71739	91.5	109	137738	790
setA-13	38	42735	12	true	0	2000	1	42735	41025	90.9	52	116498	971
setA-15	42	898695	54	true	18	2500	19	350868	337125	29.1	142	41484	920
setA-16	12	143442	0	true	0	2904	1	143442	44262	95.4	13	89100	1074
setA-19	9	146135	3	true	0	3996	1	146135	46838	95.5	9	60956	1202
