demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
2	281	233	0	3	5	28	37.470700000	2.98	250	12	2	37.470700000	37.470700000	bottleneck=1,hot_center=3,mix=28,offhot=1
2	281	233	1	3	5	28	23.419200000	3.00	250	12	2	23.419200000	23.419200000	bottleneck=1,hot_center=3,mix=28,offhot=1
13	272	181	1	3	3	24	46.838400000	3.01	116	12	0	46.838400000	46.838400000	bottleneck=1,hot_center=1,mix=24,od_scan=1
91	279	106	1	3	4	32	37.470700000	5.67	252	12	0	37.470700000	37.470700000	hot_center=3,mix=32,offhot=1
98	171	228	0	3	4	32	37.470700000	1.99	273	12	0	37.470700000	37.470700000	bottleneck=1,hot_center=1,mix=32,od_scan=1,offhot=1
101	79	35	1	3	5	28	9.367700000	1.00	157	12	0	9.367700000	9.367700000	bottleneck=1,hot_center=1,mix=28,od_scan=3
110	36	211	0	3	5	27	37.470700000	1.51	250	12	0	37.470700000	37.470700000	bottleneck=1,hot_center=3,mix=27,offhot=1
110	36	211	1	3	5	27	32.786900000	1.00	250	12	0	32.786900000	32.786900000	bottleneck=1,hot_center=3,mix=27,offhot=1
123	258	193	0	3	10	32	32.786900000	2.00	265	12	1	32.786900000	32.786900000	bottleneck=1,hot_center=6,mix=32,od_scan=2,offhot=1
123	258	193	1	3	10	32	14.051500000	3.51	265	12	1	14.051500000	14.051500000	bottleneck=1,hot_center=6,mix=32,od_scan=2,offhot=1
135	0	31	0	3	6	32	28.103000000	3.06	205	12	0	28.103000000	28.103000000	bottleneck=1,hot_center=2,mix=32,od_scan=2,offhot=1
135	0	31	1	3	6	32	23.419200000	2.51	205	12	0	23.419200000	23.419200000	bottleneck=1,hot_center=2,mix=32,od_scan=2,offhot=1
140	197	152	1	3	5	32	9.367700000	3.02	155	12	1	9.367700000	9.367700000	hot_center=1,mix=32,od_scan=4
173	120	278	0	3	8	32	4.683800000	2.01	254	12	1	4.683800000	4.683800000	hot_center=6,mix=32,od_scan=1,offhot=1
173	120	278	1	3	8	32	4.683800000	4.16	254	12	1	4.683800000	4.683800000	hot_center=6,mix=32,od_scan=1,offhot=1
228	98	211	0	3	5	27	28.103000000	3.00	249	12	0	28.103000000	28.103000000	bottleneck=1,hot_center=3,mix=27,offhot=1
228	98	211	1	3	5	27	42.154600000	3.51	249	12	0	42.154600000	42.154600000	bottleneck=1,hot_center=3,mix=27,offhot=1
245	148	278	0	3	9	32	18.735400000	2.00	257	12	0	18.735400000	18.735400000	bottleneck=1,hot_center=3,mix=32,od_scan=4,offhot=1
245	148	278	1	3	9	32	18.735400000	4.00	257	12	0	18.735400000	18.735400000	bottleneck=1,hot_center=3,mix=32,od_scan=4,offhot=1
410	264	266	0	3	9	32	42.154600000	3.99	256	12	1	42.154600000	42.154600000	hot_center=3,mix=32,od_scan=5,offhot=1
410	264	266	1	3	9	32	32.786900000	5.55	256	12	1	32.786900000	32.786900000	hot_center=3,mix=32,od_scan=5,offhot=1
459	15	229	0	3	4	32	46.838400000	4.67	248	12	1	46.838400000	46.838400000	bottleneck=1,hot_center=1,mix=32,od_scan=1,offhot=1
459	15	229	1	3	4	32	14.051500000	3.59	248	12	1	14.051500000	14.051500000	bottleneck=1,hot_center=1,mix=32,od_scan=1,offhot=1
462	253	133	0	3	15	32	37.470700000	5.04	273	12	1	37.470700000	37.470700000	hot_center=10,mix=32,od_scan=4,offhot=1
462	253	133	1	3	15	32	46.838400000	2.35	273	12	1	46.838400000	46.838400000	hot_center=9,mix=32,od_scan=5,offhot=1
468	69	193	1	3	1	1	14.051500000	1.55	118	12	0	14.051500000	14.051500000	bottleneck=1,mix=1
485	299	1	0	3	7	32	23.419200000	2.52	238	12	0	23.419200000	23.419200000	bottleneck=1,hot_center=1,mix=32,od_scan=4,offhot=1
485	299	1	1	3	7	32	42.154600000	2.52	238	12	0	42.154600000	42.154600000	bottleneck=1,hot_center=1,mix=32,od_scan=4,offhot=1
489	298	211	0	3	6	32	14.051500000	2.00	246	12	1	14.051500000	14.051500000	bottleneck=1,mix=32,od_scan=4,offhot=1
489	298	211	1	3	6	32	9.367700000	2.00	246	12	1	9.367700000	9.367700000	bottleneck=1,mix=32,od_scan=4,offhot=1
496	222	299	0	3	6	32	46.838400000	3.52	246	12	1	46.838400000	46.838400000	bottleneck=1,hot_center=1,mix=32,od_scan=4
496	222	299	1	3	6	32	28.103000000	2.51	246	12	1	28.103000000	28.103000000	bottleneck=1,hot_center=1,mix=32,od_scan=4
528	244	241	1	3	1	0	23.419200000	1.00	154	12	0	23.419200000	23.419200000	bottleneck=1
548	79	162	1	3	9	32	32.786900000	4.00	154	12	1	32.786900000	32.786900000	bottleneck=1,hot_center=4,mix=32,od_scan=4
554	146	137	0	3	12	32	18.735400000	3.00	259	12	1	18.735400000	18.735400000	bottleneck=1,hot_center=6,mix=32,od_scan=4,offhot=1
554	146	137	1	3	12	32	42.154600000	3.00	259	12	1	42.154600000	42.154600000	bottleneck=1,hot_center=6,mix=32,od_scan=4,offhot=1
571	197	113	1	3	5	24	4.683800000	2.51	152	12	1	4.683800000	4.683800000	bottleneck=1,hot_center=2,mix=24,od_scan=1,offhot=1
590	69	287	1	3	9	32	28.103000000	4.27	122	12	1	28.103000000	28.103000000	bottleneck=1,hot_center=6,mix=32,od_scan=1,offhot=1
622	59	223	0	3	13	32	46.838400000	5.59	227	12	0	46.838400000	46.838400000	hot_center=4,mix=32,od_scan=9
622	59	223	1	3	14	32	4.683800000	5.05	227	12	0	4.683800000	4.683800000	hot_center=5,mix=32,od_scan=8,offhot=1
643	233	127	0	3	11	32	46.838400000	3.00	245	12	2	46.838400000	46.838400000	hot_center=9,mix=32,od_scan=1,offhot=1
643	233	127	1	3	11	32	32.786900000	4.15	245	12	2	32.786900000	32.786900000	hot_center=9,mix=32,od_scan=1,offhot=1
683	242	246	1	3	3	23	4.683800000	3.00	115	12	0	4.683800000	4.683800000	bottleneck=1,hot_center=2,mix=23
699	202	109	0	3	5	18	23.419200000	3.10	237	12	0	23.419200000	23.419200000	bottleneck=1,hot_center=3,mix=18,offhot=1
699	202	109	1	3	4	18	18.735400000	3.31	237	12	0	18.735400000	18.735400000	bottleneck=1,hot_center=3,mix=18
713	233	27	0	3	5	21	14.051500000	3.55	245	12	2	14.051500000	14.051500000	bottleneck=1,hot_center=3,mix=21,offhot=1
713	233	27	1	3	6	24	28.103000000	3.00	245	12	2	28.103000000	28.103000000	bottleneck=1,hot_center=4,mix=24,offhot=1
749	31	148	0	3	8	32	9.367700000	2.00	245	12	0	9.367700000	9.367700000	bottleneck=1,hot_center=5,mix=32,od_scan=1,offhot=1
749	31	148	1	3	8	32	14.051500000	2.51	245	12	0	14.051500000	14.051500000	bottleneck=1,hot_center=5,mix=32,od_scan=1,offhot=1
767	257	229	0	3	8	32	4.683800000	4.00	238	12	1	4.683800000	4.683800000	bottleneck=1,hot_center=5,mix=32,od_scan=2
767	257	229	1	3	9	32	42.154600000	2.59	238	12	1	42.154600000	42.154600000	bottleneck=1,hot_center=5,mix=32,od_scan=2,offhot=1
