demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
8	112	18	0	1	7	32	105.912400000	2.00	38	12	2	105.912400000	105.912400000	bottleneck=1,hot_center=1,mix=32,od_scan=4,offhot=1
16	149	39	1	5	0	0	0.000000000	2.01	0	0	0	0.000000000	0.000000000	
28	20	10	1	5	15	32	222.378300000	1.51	133	12	2	222.378300000	222.378300000	bottleneck=1,hot_center=8,mix=32,od_scan=5,offhot=1
29	100	129	1	5	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
43	87	122	1	5	16	32	6.784400000	1.00	125	12	2	6.784400000	6.784400000	hot_center=7,mix=32,od_scan=8,offhot=1
46	98	76	1	5	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
51	53	149	1	5	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
84	65	143	1	5	16	32	124.004200000	2.51	123	12	5	124.004200000	124.004200000	hot_center=11,mix=32,od_scan=5
94	122	76	1	5	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
113	115	18	0	1	3	32	65.205900000	1.01	38	12	0	65.205900000	65.205900000	bottleneck=1,hot_center=2,mix=32
119	43	10	1	5	15	32	19.599400000	1.00	133	12	2	19.599400000	19.599400000	bottleneck=1,hot_center=9,mix=32,od_scan=5
138	79	76	1	5	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
154	86	64	1	5	15	32	4.146000000	2.03	123	12	3	4.146000000	4.146000000	hot_center=9,mix=32,od_scan=6
162	100	63	1	5	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
173	120	149	1	5	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
179	76	113	1	5	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
181	76	5	1	5	0	0	0.000000000	1.18	0	0	0	0.000000000	0.000000000	
183	115	10	1	5	9	32	29.022300000	1.01	127	12	1	29.022300000	29.022300000	bottleneck=1,hot_center=5,mix=32,od_scan=3
186	149	20	1	5	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
188	13	149	1	5	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
