demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
17	34	90	1	2	7	32	21.739100000	0.99	116	12	1	21.739100000	21.739100000	hot_center=2,mix=32,od_scan=5
33	107	21	0	4	4	32	54.347800000	3.54	31	12	2	54.347800000	54.347800000	bottleneck=1,hot_center=1,mix=32,od_scan=1,offhot=1
37	33	11	0	4	3	7	65.217400000	2.00	33	12	2	65.217400000	65.217400000	bottleneck=1,hot_center=2,mix=7
45	100	113	0	4	6	32	32.608700000	2.52	67	12	3	32.608700000	32.608700000	mix=32,od_scan=5,offhot=1
46	1	115	0	4	10	32	32.608700000	2.00	90	12	1	32.608700000	32.608700000	bottleneck=1,hot_center=2,mix=32,od_scan=6,offhot=1
46	1	115	1	2	10	32	76.087000000	1.01	90	12	1	76.087000000	76.087000000	bottleneck=1,hot_center=2,mix=32,od_scan=6,offhot=1
63	108	126	0	4	13	32	43.478300000	0.99	137	12	2	43.478300000	43.478300000	bottleneck=2,hot_center=8,mix=32,od_scan=2,offhot=1
84	115	22	0	4	7	32	76.087000000	2.54	90	12	2	76.087000000	76.087000000	bottleneck=2,hot_center=3,mix=32,od_scan=2
89	20	132	1	2	9	32	86.956500000	2.02	120	12	2	86.956500000	86.956500000	hot_center=3,mix=32,od_scan=5,offhot=1
114	82	135	1	2	2	20	65.217400000	1.00	34	12	1	65.217400000	65.217400000	hot_center=1,mix=20,od_scan=1
115	107	35	0	4	1	15	97.826100000	1.00	31	12	0	97.826100000	97.826100000	bottleneck=1,mix=15
116	15	14	0	4	10	32	10.869600000	1.53	119	12	4	10.869600000	10.869600000	hot_center=6,mix=32,od_scan=3,offhot=1
117	33	149	0	4	3	32	21.739100000	1.02	34	12	1	21.739100000	21.739100000	bottleneck=1,hot_center=1,mix=32,od_scan=1
133	48	68	0	4	2	13	86.956500000	2.00	72	12	0	86.956500000	86.956500000	hot_center=2,mix=13
133	48	68	1	2	4	16	76.087000000	1.00	74	12	0	76.087000000	76.087000000	hot_center=3,mix=16,offhot=1
135	31	57	0	4	2	27	86.956500000	2.53	31	12	1	86.956500000	86.956500000	bottleneck=1,hot_center=1,mix=27
141	42	75	0	4	5	32	10.869600000	3.00	115	12	1	10.869600000	10.869600000	bottleneck=1,hot_center=1,mix=32,od_scan=3
144	38	31	1	2	1	12	76.087000000	3.01	31	12	1	76.087000000	76.087000000	mix=12,od_scan=1
157	121	33	0	4	11	32	86.956500000	7.03	31	12	3	86.956500000	86.956500000	hot_center=6,mix=32,od_scan=5
157	121	33	1	2	13	32	43.478300000	2.00	33	12	3	43.478300000	43.478300000	bottleneck=1,hot_center=6,mix=32,od_scan=6
158	31	143	0	4	3	32	21.739100000	1.51	37	12	2	21.739100000	21.739100000	mix=32,od_scan=3
