demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
16	186	90	1	3	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
28	186	103	1	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
31	103	143	0	3	0	0	0.000000000	1.55	0	0	0	0.000000000	0.000000000	
39	242	11	0	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
52	242	198	0	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
55	46	220	1	3	0	0	0.000000000	2.15	0	0	0	0.000000000	0.000000000	
64	124	116	1	3	0	0	0.000000000	2.60	0	0	0	0.000000000	0.000000000	
99	242	125	0	3	0	0	0.000000000	2.05	0	0	0	0.000000000	0.000000000	
103	186	85	1	3	0	0	0.000000000	2.04	0	0	0	0.000000000	0.000000000	
111	124	64	1	3	0	0	0.000000000	3.55	0	0	0	0.000000000	0.000000000	
114	196	220	1	3	0	0	0.000000000	3.60	0	0	0	0.000000000	0.000000000	
118	7	112	0	3	3	22	3.616400000	1.55	105	12	1	3.616400000	3.616400000	bottleneck=1,hot_center=1,mix=22,od_scan=1
136	106	220	1	3	0	0	0.000000000	2.62	0	0	0	0.000000000	0.000000000	
150	103	179	0	3	0	0	0.000000000	1.55	0	0	0	0.000000000	0.000000000	
163	124	81	1	3	0	0	0.000000000	1.11	0	0	0	0.000000000	0.000000000	
169	7	26	0	3	7	32	21.369900000	1.71	105	12	0	21.369900000	21.369900000	bottleneck=1,hot_center=4,mix=32,od_scan=1,offhot=1
203	7	182	0	3	3	32	11.671200000	1.56	104	12	0	11.671200000	11.671200000	bottleneck=1,mix=32,od_scan=2
248	103	199	0	3	0	0	0.000000000	1.66	0	0	0	0.000000000	0.000000000	
263	103	172	0	3	0	0	0.000000000	2.55	0	0	0	0.000000000	0.000000000	
269	124	129	1	3	0	0	0.000000000	2.59	0	0	0	0.000000000	0.000000000	
320	55	178	0	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
331	242	67	0	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
332	186	168	1	3	0	0	0.000000000	3.51	0	0	0	0.000000000	0.000000000	
349	166	119	0	3	14	32	10.356200000	2.51	216	12	0	10.356200000	10.356200000	bottleneck=1,hot_center=8,mix=32,od_scan=4,offhot=1
352	7	156	0	3	2	10	23.178100000	2.03	105	12	0	23.178100000	23.178100000	bottleneck=1,mix=10,offhot=1
361	242	184	0	3	0	0	0.000000000	1.55	0	0	0	0.000000000	0.000000000	
381	7	133	0	3	4	14	18.082200000	1.54	105	12	1	18.082200000	18.082200000	bottleneck=1,hot_center=3,mix=14
404	7	55	0	3	5	32	26.630100000	1.96	105	12	0	26.630100000	26.630100000	bottleneck=1,hot_center=3,mix=32,od_scan=1
412	103	9	0	3	0	0	0.000000000	2.03	0	0	0	0.000000000	0.000000000	
432	186	23	1	3	0	0	0.000000000	2.59	0	0	0	0.000000000	0.000000000	
464	221	220	1	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
486	55	211	0	3	0	0	0.000000000	1.53	0	0	0	0.000000000	0.000000000	
536	103	19	0	3	0	0	0.000000000	0.55	0	0	0	0.000000000	0.000000000	
539	231	220	1	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
546	124	242	1	3	0	0	0.000000000	2.05	0	0	0	0.000000000	0.000000000	
573	55	71	0	3	0	0	0.000000000	2.59	0	0	0	0.000000000	0.000000000	
593	55	2	0	3	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
599	7	121	0	3	4	32	65.095900000	3.51	105	12	1	65.095900000	65.095900000	bottleneck=1,hot_center=1,mix=32,od_scan=2
