demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
5	13	12	0	2	1	0	8.343800000	0.00	1	1	1	8.343800000	8.343800000	od_scan=1
5	13	12	1	4	11	32	11.472700000	1.00	34	12	4	11.472700000	11.472700000	bottleneck=1,hot_center=4,mix=32,od_scan=5,offhot=1
16	44	19	0	2	7	32	9.804000000	1.00	13	12	7	9.804000000	9.804000000	bottleneck=1,hot_center=2,mix=32,od_scan=4
16	44	19	1	4	7	32	7.300800000	0.00	13	12	7	7.300800000	7.300800000	bottleneck=1,hot_center=3,mix=32,od_scan=3
19	33	12	0	2	0	4	9.595400000	1.01	0	0	0	0.000000000	0.000000000	mix=4
19	33	12	1	4	0	4	8.761000000	0.00	0	0	0	0.000000000	0.000000000	mix=4
22	29	20	1	4	7	32	57.572300000	0.00	15	12	7	57.572300000	57.572300000	bottleneck=1,hot_center=1,mix=32,od_scan=5
25	39	12	0	2	0	0	0.000000000	0.00	1	1	0	17.522000000	0.000000000	
25	39	12	1	4	0	0	0.000000000	1.00	1	1	0	28.786200000	0.000000000	
29	28	18	1	4	12	32	24.405700000	0.00	29	12	6	24.405700000	24.405700000	bottleneck=1,hot_center=5,mix=32,od_scan=5,offhot=1
39	20	19	0	2	5	32	27.534600000	1.00	13	12	5	27.534600000	27.534600000	hot_center=2,mix=32,od_scan=3
39	20	19	1	4	5	32	1.877400000	1.00	13	12	5	1.877400000	1.877400000	bottleneck=1,hot_center=2,mix=32,od_scan=2
41	8	12	0	2	1	0	3.963300000	0.99	1	1	1	3.963300000	3.963300000	bottleneck=1
41	8	12	1	4	1	0	4.380500000	1.12	1	1	1	4.380500000	4.380500000	bottleneck=1
47	7	43	0	2	10	32	3.337500000	1.00	27	12	2	3.337500000	3.337500000	bottleneck=1,hot_center=3,mix=32,od_scan=5,offhot=1
47	7	43	1	4	11	32	65.707600000	1.00	32	12	1	65.707600000	65.707600000	bottleneck=2,hot_center=6,mix=32,od_scan=3
56	20	12	0	2	1	2	28.160400000	0.00	1	1	1	28.160400000	28.160400000	hot_center=1,mix=2
56	20	12	1	4	11	32	41.510500000	1.51	29	12	7	41.510500000	41.510500000	bottleneck=1,hot_center=7,mix=32,od_scan=3
60	3	19	0	2	5	32	3.963300000	0.00	13	12	5	3.963300000	3.963300000	hot_center=2,mix=32,od_scan=3
60	3	19	1	4	5	32	7.092200000	0.00	13	12	5	7.092200000	7.092200000	hot_center=3,mix=32,od_scan=2
90	29	8	1	4	6	32	70.713800000	1.00	15	12	6	70.713800000	70.713800000	bottleneck=1,hot_center=2,mix=32,od_scan=3
96	29	13	1	4	9	32	40.050300000	0.00	15	12	9	40.050300000	40.050300000	bottleneck=1,hot_center=4,mix=32,od_scan=3,offhot=1
98	10	19	0	2	5	32	5.840700000	1.00	13	12	5	5.840700000	5.840700000	hot_center=1,mix=32,od_scan=4
98	10	19	1	4	5	32	21.693900000	0.00	13	12	5	21.693900000	21.693900000	hot_center=3,mix=32,od_scan=2
104	47	15	1	4	12	32	1.460200000	1.52	28	12	7	1.460200000	1.460200000	bottleneck=1,hot_center=5,mix=32,od_scan=6
106	45	19	0	2	4	32	25.865800000	1.02	13	12	4	25.865800000	25.865800000	hot_center=1,mix=32,od_scan=2,offhot=1
106	45	19	1	4	3	32	29.620600000	0.00	13	12	3	29.620600000	29.620600000	hot_center=1,mix=32,od_scan=2
110	36	18	1	4	13	32	63.413000000	0.00	33	12	5	63.413000000	63.413000000	hot_center=3,mix=32,od_scan=10
111	36	8	1	4	6	32	10.012600000	1.00	15	12	6	10.012600000	10.012600000	bottleneck=1,hot_center=2,mix=32,od_scan=3
115	22	12	0	2	0	4	0.208600000	1.00	0	0	0	0.000000000	0.000000000	mix=4
115	22	12	1	4	0	4	64.038800000	0.57	0	0	0	0.000000000	0.000000000	mix=4
129	40	12	0	2	1	3	25.657200000	0.55	1	1	1	25.657200000	25.657200000	bottleneck=1,mix=3
129	40	12	1	4	1	3	20.233800000	1.14	1	1	1	20.233800000	20.233800000	bottleneck=1,mix=3
131	25	12	0	2	1	0	25.657200000	0.58	1	1	1	25.657200000	25.657200000	od_scan=1
131	25	12	1	4	10	32	52.357500000	0.58	29	12	5	52.357500000	52.357500000	bottleneck=1,hot_center=5,mix=32,od_scan=3,offhot=1
147	43	32	1	4	10	32	12.724300000	0.52	34	12	5	12.724300000	12.724300000	bottleneck=1,hot_center=7,mix=32,od_scan=2
148	28	38	1	4	9	32	16.896200000	0.60	34	12	6	16.896200000	16.896200000	hot_center=4,mix=32,od_scan=4,offhot=1
152	28	32	1	4	9	32	18.356400000	0.55	28	12	4	18.356400000	18.356400000	bottleneck=1,hot_center=2,mix=32,od_scan=5,offhot=1
154	9	12	0	2	1	3	0.417200000	0.58	1	1	1	0.417200000	0.417200000	hot_center=1,mix=3
154	9	12	1	4	1	3	40.676100000	1.08	1	1	1	40.676100000	40.676100000	hot_center=1,mix=3
156	13	0	1	4	11	32	21.068100000	0.57	33	12	4	21.068100000	21.068100000	bottleneck=1,hot_center=6,mix=32,od_scan=3,offhot=1
