demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
1	128	17	0	3	0	0	0.000000000	1.54	0	0	0	0.000000000	0.000000000	
1	128	17	1	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
10	128	161	0	3	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
10	128	161	1	3	0	0	0.000000000	1.02	0	0	0	0.000000000	0.000000000	
17	108	59	1	3	14	32	1008.742400000	1.55	289	12	1	1008.742400000	1008.742400000	bottleneck=1,hot_center=5,mix=32,od_scan=7,offhot=1
171	294	170	0	3	0	0	0.000000000	2.60	0	0	0	0.000000000	0.000000000	
276	128	155	0	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
276	128	155	1	3	0	0	0.000000000	3.13	0	0	0	0.000000000	0.000000000	
293	128	216	0	3	0	0	0.000000000	2.04	0	0	0	0.000000000	0.000000000	
293	128	216	1	3	0	0	0.000000000	2.03	0	0	0	0.000000000	0.000000000	
439	97	170	0	3	0	0	0.000000000	3.51	0	0	0	0.000000000	0.000000000	
483	256	170	0	3	0	0	0.000000000	0.55	0	0	0	0.000000000	0.000000000	
553	128	68	0	3	0	0	0.000000000	1.55	0	0	0	0.000000000	0.000000000	
553	128	68	1	3	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
789	128	160	0	3	0	0	0.000000000	2.05	0	0	0	0.000000000	0.000000000	
789	128	160	1	3	0	0	0.000000000	2.03	0	0	0	0.000000000	0.000000000	
823	61	59	1	3	13	32	1344.989900000	1.54	289	12	2	1344.989900000	1344.989900000	bottleneck=1,hot_center=11,mix=32,offhot=1
943	162	170	0	3	0	0	0.000000000	1.56	0	0	0	0.000000000	0.000000000	
994	251	170	0	3	0	0	0.000000000	2.52	0	0	0	0.000000000	0.000000000	
1121	239	170	0	3	0	0	0.000000000	2.44	0	0	0	0.000000000	0.000000000	
1166	221	170	0	3	0	0	0.000000000	4.09	0	0	0	0.000000000	0.000000000	
1167	128	219	0	3	0	0	0.000000000	2.04	0	0	0	0.000000000	0.000000000	
1167	128	219	1	3	0	0	0.000000000	3.04	0	0	0	0.000000000	0.000000000	
1178	262	59	1	3	18	32	504.371200000	4.14	289	12	1	504.371200000	504.371200000	bottleneck=1,hot_center=10,mix=32,od_scan=6,offhot=1
1217	128	101	0	3	0	0	0.000000000	2.01	0	0	0	0.000000000	0.000000000	
1217	128	101	1	3	0	0	0.000000000	3.01	0	0	0	0.000000000	0.000000000	
1356	280	170	0	3	0	0	0.000000000	1.55	0	0	0	0.000000000	0.000000000	
1374	128	66	0	3	0	0	0.000000000	2.05	0	0	0	0.000000000	0.000000000	
1374	128	66	1	3	0	0	0.000000000	1.55	0	0	0	0.000000000	0.000000000	
1501	41	170	0	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
1616	287	44	0	3	14	32	1513.113700000	2.52	297	12	1	1513.113700000	1513.113700000	bottleneck=1,hot_center=7,mix=32,od_scan=5,offhot=1
1616	287	44	1	3	14	32	672.495000000	2.00	297	12	1	672.495000000	672.495000000	bottleneck=1,hot_center=7,mix=32,od_scan=5,offhot=1
1786	128	49	0	3	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
1786	128	49	1	3	0	0	0.000000000	1.09	0	0	0	0.000000000	0.000000000	
1868	102	170	0	3	0	0	0.000000000	1.65	0	0	0	0.000000000	0.000000000	
