demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
6	17	25	1	4	5	32	82.179600000	0.89	5	5	5	82.179600000	82.179600000	hot_center=1,mix=32,od_scan=4
16	10	25	1	4	2	13	7.736300000	1.05	5	5	2	7.736300000	7.736300000	mix=13,od_scan=2
61	98	74	0	2	14	32	0.875800000	1.00	75	12	4	0.875800000	0.875800000	bottleneck=1,hot_center=7,mix=32,od_scan=6
71	67	29	1	4	14	32	2.773400000	1.00	77	12	2	2.773400000	2.773400000	bottleneck=1,hot_center=5,mix=32,od_scan=7,offhot=1
75	38	85	0	2	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
76	37	73	1	4	13	32	0.729800000	1.01	72	12	3	0.729800000	0.729800000	bottleneck=1,hot_center=7,mix=32,od_scan=4,offhot=1
77	23	25	0	2	3	32	1.897600000	0.51	32	12	2	1.897600000	1.897600000	bottleneck=1,mix=32,od_scan=2
77	23	25	1	4	3	17	20.727400000	1.00	5	5	3	20.727400000	20.727400000	hot_center=1,mix=17,od_scan=2
81	93	15	1	4	7	32	24.960400000	2.00	63	12	1	24.960400000	24.960400000	bottleneck=1,hot_center=4,mix=32,od_scan=2
95	76	70	0	2	15	32	31.528900000	3.06	79	12	3	31.528900000	31.528900000	bottleneck=1,hot_center=7,mix=32,od_scan=6,offhot=1
96	66	99	0	2	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
97	93	77	1	4	15	32	0.437900000	1.03	80	12	1	0.437900000	0.437900000	bottleneck=1,hot_center=5,mix=32,od_scan=9
105	38	97	0	2	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
106	91	1	1	4	12	32	42.038600000	2.04	74	12	1	42.038600000	42.038600000	bottleneck=1,hot_center=6,mix=32,od_scan=4,offhot=1
107	23	39	0	2	5	32	18.683800000	0.51	32	12	3	18.683800000	18.683800000	mix=32,od_scan=5
127	66	27	0	2	0	0	0.000000000	1.51	0	0	0	0.000000000	0.000000000	
132	66	1	0	2	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
145	66	9	0	2	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
148	47	5	1	4	9	32	16.494300000	1.00	52	12	3	16.494300000	16.494300000	bottleneck=1,hot_center=5,mix=32,od_scan=2,offhot=1
155	82	97	0	2	5	32	0.583900000	1.00	30	12	3	0.583900000	0.583900000	bottleneck=1,hot_center=1,mix=32,od_scan=2,offhot=1
156	47	43	1	4	9	32	0.729800000	1.51	54	12	4	0.729800000	0.729800000	bottleneck=1,mix=32,od_scan=8
167	18	84	1	4	3	32	47.439400000	1.01	38	12	0	47.439400000	47.439400000	bottleneck=1,mix=32,od_scan=1,offhot=1
184	23	43	0	2	7	32	17.078200000	1.00	31	12	4	17.078200000	17.078200000	hot_center=4,mix=32,od_scan=3
185	38	57	0	2	0	0	0.000000000	0.96	0	0	0	0.000000000	0.000000000	
189	23	45	0	2	7	32	42.622500000	2.00	32	12	3	42.622500000	42.622500000	hot_center=3,mix=32,od_scan=4
195	95	14	0	2	12	32	4.962900000	2.52	79	12	3	4.962900000	4.962900000	hot_center=7,mix=32,od_scan=5
212	48	84	1	4	1	32	44.520000000	2.01	38	12	0	44.520000000	44.520000000	bottleneck=1,mix=32
223	89	66	0	2	7	32	19.705600000	1.00	30	12	4	19.705600000	19.705600000	mix=32,od_scan=7
231	44	29	1	4	17	32	2.627400000	2.00	77	12	3	2.627400000	2.627400000	bottleneck=1,hot_center=5,mix=32,od_scan=10,offhot=1
242	91	23	1	4	12	32	9.341900000	1.18	78	12	1	9.341900000	9.341900000	bottleneck=1,hot_center=3,mix=32,od_scan=7,offhot=1
246	82	14	0	2	4	24	8.612100000	1.51	25	12	3	8.612100000	8.612100000	bottleneck=1,hot_center=2,mix=24,od_scan=1
254	7	70	1	4	12	32	30.361200000	1.00	76	12	4	30.361200000	30.361200000	bottleneck=1,hot_center=3,mix=32,od_scan=7,offhot=1
255	37	84	1	4	4	32	5.692700000	2.00	38	12	0	5.692700000	5.692700000	bottleneck=1,hot_center=2,mix=32,od_scan=1
259	23	93	0	2	9	32	23.062800000	1.04	32	12	3	23.062800000	23.062800000	bottleneck=1,hot_center=6,mix=32,od_scan=1,offhot=1
260	23	67	0	2	7	32	21.165300000	1.55	30	12	5	21.165300000	21.165300000	bottleneck=1,mix=32,od_scan=5,offhot=1
273	7	25	1	4	13	32	42.768400000	1.01	78	12	0	42.768400000	42.768400000	mix=32,od_scan=13
280	40	82	1	4	14	32	37.367600000	0.55	84	12	2	37.367600000	37.367600000	bottleneck=1,hot_center=6,mix=32,od_scan=7
285	98	32	0	2	12	32	21.895100000	0.99	71	12	2	21.895100000	21.895100000	bottleneck=1,hot_center=7,mix=32,od_scan=4
305	12	84	1	4	4	32	21.019300000	1.00	38	12	1	21.019300000	21.019300000	hot_center=1,mix=32,od_scan=2,offhot=1
308	82	62	0	2	5	32	17.808000000	1.00	32	12	1	17.808000000	17.808000000	hot_center=2,mix=32,od_scan=3
312	38	52	0	2	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
318	82	71	0	2	8	32	19.267700000	1.01	32	12	5	19.267700000	19.267700000	bottleneck=1,hot_center=3,mix=32,od_scan=3,offhot=1
330	38	27	0	2	0	0	0.000000000	1.05	0	0	0	0.000000000	0.000000000	
338	66	84	0	2	0	0	0.000000000	1.59	0	0	0	0.000000000	0.000000000	
339	82	24	0	2	2	16	30.361200000	1.00	31	12	1	30.361200000	30.361200000	bottleneck=1,hot_center=1,mix=16
340	3	14	0	2	16	32	7.444300000	2.96	80	12	2	7.444300000	7.444300000	bottleneck=1,hot_center=5,mix=32,od_scan=9,offhot=1
349	61	4	1	4	17	32	29.485400000	1.51	89	12	2	29.485400000	29.485400000	bottleneck=1,hot_center=10,mix=32,od_scan=5,offhot=1
352	31	25	1	4	2	8	25.398300000	1.00	5	5	2	25.398300000	25.398300000	mix=8,od_scan=2
357	47	15	1	4	15	32	11.093500000	1.00	72	12	2	11.093500000	11.093500000	bottleneck=1,hot_center=7,mix=32,od_scan=7
365	23	14	0	2	4	27	49.045000000	1.00	25	12	3	49.045000000	49.045000000	bottleneck=1,hot_center=2,mix=27,od_scan=1
373	47	84	1	4	13	32	13.429000000	1.00	69	12	3	13.429000000	13.429000000	bottleneck=1,hot_center=6,mix=32,od_scan=6
374	47	59	1	4	15	32	14.888700000	0.00	74	12	3	14.888700000	14.888700000	bottleneck=1,hot_center=5,mix=32,od_scan=8,offhot=1
378	23	74	0	2	5	32	2.335500000	1.02	31	12	2	2.335500000	2.335500000	hot_center=2,mix=32,od_scan=3
380	47	32	1	4	10	32	18.537900000	1.00	53	12	2	18.537900000	18.537900000	bottleneck=1,hot_center=7,mix=32,od_scan=2
381	3	31	0	2	18	32	1.751600000	1.00	85	12	2	1.751600000	1.751600000	bottleneck=1,hot_center=7,mix=32,od_scan=9,offhot=1
392	38	23	0	2	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
401	40	72	1	4	17	32	11.531400000	0.51	85	12	4	11.531400000	11.531400000	bottleneck=1,hot_center=5,mix=32,od_scan=10,offhot=1
412	66	7	0	2	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
414	80	23	1	4	11	32	2.043500000	1.01	68	12	3	2.043500000	2.043500000	bottleneck=1,hot_center=7,mix=32,od_scan=2,offhot=1
417	47	89	1	4	9	32	51.234500000	1.02	53	12	4	51.234500000	51.234500000	bottleneck=1,hot_center=2,mix=32,od_scan=5,offhot=1
