demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
71	212	164	0	3	3	32	14.679900000	4.04	16	12	1	14.679900000	14.679900000	bottleneck=1,hot_center=1,mix=32,od_scan=1
71	212	164	1	3	4	32	0.615500000	4.00	16	12	3	0.615500000	0.615500000	bottleneck=1,hot_center=1,mix=32,od_scan=1,offhot=1
117	353	8	0	3	0	0	0.000000000	4.00	0	0	0	0.000000000	0.000000000	
117	353	8	1	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
148	296	235	0	3	3	27	0.523200000	1.04	16	12	2	0.523200000	0.523200000	bottleneck=1,mix=27,od_scan=2
148	296	235	1	3	3	27	7.570800000	1.01	16	12	2	7.570800000	7.570800000	bottleneck=1,mix=27,od_scan=2
191	212	286	0	3	1	10	0.615500000	2.00	16	12	0	0.615500000	0.615500000	bottleneck=1,mix=10
191	212	286	1	3	1	10	1.908100000	2.04	16	12	0	1.908100000	1.908100000	bottleneck=1,mix=10
215	296	321	0	3	2	11	3.139100000	2.00	16	12	1	3.139100000	3.139100000	bottleneck=1,mix=11,od_scan=1
215	296	321	1	3	2	11	4.093100000	2.04	16	12	1	4.093100000	4.093100000	bottleneck=1,mix=11,od_scan=1
225	338	15	0	3	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
225	338	15	1	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
320	124	275	1	3	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
324	92	156	0	3	0	0	0.000000000	2.59	0	0	0	0.000000000	0.000000000	
333	212	248	0	3	1	32	0.307800000	6.51	16	12	0	0.307800000	0.307800000	bottleneck=1,mix=32
333	212	248	1	3	1	32	1.138700000	3.59	16	12	0	1.138700000	1.138700000	bottleneck=1,mix=32
373	97	275	1	3	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
501	386	8	0	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
501	386	8	1	3	0	0	0.000000000	3.38	0	0	0	0.000000000	0.000000000	
557	383	156	0	3	0	0	0.000000000	5.07	0	0	0	0.000000000	0.000000000	
595	368	275	1	3	0	0	0.000000000	4.09	0	0	0	0.000000000	0.000000000	
630	296	179	0	3	2	27	4.708700000	3.01	16	12	1	4.708700000	4.708700000	bottleneck=1,mix=27,od_scan=1
630	296	179	1	3	2	27	2.000400000	5.53	16	12	1	2.000400000	2.000400000	bottleneck=1,hot_center=1,mix=27
638	233	8	0	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
638	233	8	1	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
733	132	8	0	3	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
733	132	8	1	3	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
746	212	272	0	3	2	32	1.846500000	3.00	16	12	1	1.846500000	1.846500000	bottleneck=1,hot_center=1,mix=32
746	212	272	1	3	2	32	2.831400000	1.00	16	12	1	2.831400000	2.831400000	bottleneck=1,hot_center=1,mix=32
812	231	275	1	3	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
1019	28	275	1	3	0	0	0.000000000	3.18	0	0	0	0.000000000	0.000000000	
1061	9	275	1	3	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
1110	353	275	1	3	0	0	0.000000000	1.99	0	0	0	0.000000000	0.000000000	
1115	98	156	0	3	0	0	0.000000000	2.55	0	0	0	0.000000000	0.000000000	
1150	296	255	0	3	1	15	0.861700000	2.00	16	12	0	0.861700000	0.861700000	bottleneck=1,mix=15
1150	296	255	1	3	1	15	5.324200000	2.18	16	12	0	5.324200000	5.324200000	bottleneck=1,mix=15
1169	331	15	0	3	0	0	0.000000000	2.34	0	0	0	0.000000000	0.000000000	
1169	331	15	1	3	0	0	0.000000000	4.59	0	0	0	0.000000000	0.000000000	
1206	199	8	0	3	0	0	0.000000000	3.94	0	0	0	0.000000000	0.000000000	
1206	199	8	1	3	0	0	0.000000000	4.09	0	0	0	0.000000000	0.000000000	
