demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
1	15	0	0	5	15	32	167.655700000	0.52	17	12	11	167.655700000	167.655700000	bottleneck=1,hot_center=6,mix=32,od_scan=8
2	2	3	0	5	8	32	22.078100000	0.55	9	9	8	22.078100000	22.078100000	bottleneck=1,hot_center=2,mix=32,od_scan=5
3	16	12	0	5	1	11	229.060500000	0.53	1	1	1	229.060500000	229.060500000	bottleneck=1,mix=11
6	18	14	0	5	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
7	17	0	0	5	10	32	253.898300000	0.00	17	12	8	253.898300000	253.898300000	hot_center=5,mix=32,od_scan=4,offhot=1
9	18	3	0	5	12	32	240.099500000	0.59	15	12	10	240.099500000	240.099500000	bottleneck=1,hot_center=5,mix=32,od_scan=6
9	18	3	1	1	12	32	53.815400000	0.00	14	12	11	53.815400000	53.815400000	bottleneck=1,hot_center=5,mix=32,od_scan=6
10	9	14	0	5	0	0	0.000000000	0.58	0	0	0	0.000000000	0.000000000	
13	7	14	0	5	0	0	0.000000000	0.00	0	0	0	0.000000000	0.000000000	
16	14	16	0	5	7	32	192.493600000	0.00	10	10	7	192.493600000	192.493600000	hot_center=4,mix=32,od_scan=3
16	14	16	1	1	7	32	169.035600000	0.57	10	10	7	169.035600000	169.035600000	hot_center=2,mix=32,od_scan=5
17	5	16	0	5	8	32	14.488800000	0.00	10	10	8	14.488800000	14.488800000	bottleneck=1,hot_center=5,mix=32,od_scan=2
17	5	16	1	1	8	32	14.488800000	0.00	10	10	8	14.488800000	14.488800000	bottleneck=1,hot_center=2,mix=32,od_scan=5
20	15	9	0	5	8	32	85.552700000	0.58	13	12	8	85.552700000	85.552700000	bottleneck=1,hot_center=3,mix=32,od_scan=3,offhot=1
22	16	3	0	5	0	6	34.497100000	0.00	0	0	0	0.000000000	0.000000000	mix=6
23	12	9	0	5	12	32	115.910100000	0.00	14	12	11	115.910100000	115.910100000	hot_center=6,mix=32,od_scan=6
24	19	16	0	5	7	32	57.955100000	0.60	10	10	7	57.955100000	57.955100000	hot_center=4,mix=32,od_scan=3
24	19	16	1	1	7	32	124.879300000	0.00	10	10	7	124.879300000	124.879300000	bottleneck=1,hot_center=1,mix=32,od_scan=5
25	16	8	0	5	1	11	2.759800000	0.57	2	2	1	2.759800000	2.759800000	hot_center=1,mix=11
36	16	11	0	5	1	13	54.505400000	0.57	2	2	1	54.505400000	54.505400000	hot_center=1,mix=13
38	7	2	0	5	3	21	68.304200000	0.00	5	5	3	68.304200000	68.304200000	hot_center=2,mix=21,od_scan=1
38	7	2	1	1	3	22	45.536100000	0.52	5	5	3	45.536100000	45.536100000	bottleneck=1,hot_center=1,mix=22,od_scan=1
