demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
49	56	253	1	4	0	0	0.000000000	3.53	0	0	0	0.000000000	0.000000000	
53	42	173	1	4	0	0	0.000000000	3.51	0	0	0	0.000000000	0.000000000	
115	42	273	1	4	0	0	0.000000000	2.55	0	0	0	0.000000000	0.000000000	
195	42	292	1	4	0	0	0.000000000	3.56	0	0	0	0.000000000	0.000000000	
221	42	191	1	4	0	0	0.000000000	2.55	0	0	0	0.000000000	0.000000000	
230	250	81	0	2	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
230	250	81	1	4	0	0	0.000000000	2.04	0	0	0	0.000000000	0.000000000	
372	218	297	1	4	0	0	0.000000000	2.02	0	0	0	0.000000000	0.000000000	
410	228	152	0	2	0	0	0.000000000	2.13	0	0	0	0.000000000	0.000000000	
410	228	152	1	4	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
462	14	81	1	4	0	0	0.000000000	1.99	0	0	0	0.000000000	0.000000000	
472	82	152	0	2	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
472	82	152	1	4	0	0	0.000000000	1.60	0	0	0	0.000000000	0.000000000	
473	218	9	1	4	0	0	0.000000000	1.99	0	0	0	0.000000000	0.000000000	
514	218	199	1	4	0	0	0.000000000	1.56	0	0	0	0.000000000	0.000000000	
523	42	144	1	4	0	0	0.000000000	3.01	0	0	0	0.000000000	0.000000000	
586	229	81	0	2	0	0	0.000000000	2.59	0	0	0	0.000000000	0.000000000	
586	229	81	1	4	0	0	0.000000000	2.71	0	0	0	0.000000000	0.000000000	
600	42	239	1	4	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
632	138	172	0	2	0	0	0.000000000	2.99	0	0	0	0.000000000	0.000000000	
656	220	81	0	2	0	0	0.000000000	3.23	0	0	0	0.000000000	0.000000000	
656	220	81	1	4	0	0	0.000000000	3.51	0	0	0	0.000000000	0.000000000	
664	251	253	1	4	0	0	0.000000000	4.01	0	0	0	0.000000000	0.000000000	
666	96	81	0	2	0	0	0.000000000	2.52	0	0	0	0.000000000	0.000000000	
666	96	81	1	4	0	0	0.000000000	1.04	0	0	0	0.000000000	0.000000000	
693	189	253	1	4	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
700	42	287	1	4	0	0	0.000000000	1.51	0	0	0	0.000000000	0.000000000	
740	138	264	0	2	0	0	0.000000000	1.97	0	0	0	0.000000000	0.000000000	
760	42	187	1	4	0	0	0.000000000	1.19	0	0	0	0.000000000	0.000000000	
766	281	81	0	2	0	0	0.000000000	1.66	0	0	0	0.000000000	0.000000000	
766	281	81	1	4	0	0	0.000000000	1.70	0	0	0	0.000000000	0.000000000	
782	28	81	0	2	0	0	0.000000000	3.14	0	0	0	0.000000000	0.000000000	
782	28	81	1	4	0	0	0.000000000	1.11	0	0	0	0.000000000	0.000000000	
806	37	81	0	2	0	0	0.000000000	1.74	0	0	0	0.000000000	0.000000000	
806	37	81	1	4	0	0	0.000000000	1.66	0	0	0	0.000000000	0.000000000	
816	218	12	1	4	0	0	0.000000000	3.27	0	0	0	0.000000000	0.000000000	
822	42	4	1	4	0	0	0.000000000	2.81	0	0	0	0.000000000	0.000000000	
839	27	253	1	4	0	0	0.000000000	2.51	0	0	0	0.000000000	0.000000000	
866	172	253	1	4	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
908	138	276	0	2	0	0	0.000000000	2.53	0	0	0	0.000000000	0.000000000	
943	66	152	0	2	0	0	0.000000000	3.53	0	0	0	0.000000000	0.000000000	
943	66	152	1	4	0	0	0.000000000	3.56	0	0	0	0.000000000	0.000000000	
957	218	117	1	4	0	0	0.000000000	2.00	0	0	0	0.000000000	0.000000000	
969	138	20	0	2	0	0	0.000000000	3.05	0	0	0	0.000000000	0.000000000	
1023	138	198	0	2	0	0	0.000000000	3.03	0	0	0	0.000000000	0.000000000	
1096	207	152	0	2	0	0	0.000000000	3.53	0	0	0	0.000000000	0.000000000	
1096	207	152	1	4	0	0	0.000000000	3.28	0	0	0	0.000000000	0.000000000	
1134	138	209	0	2	0	0	0.000000000	3.03	0	0	0	0.000000000	0.000000000	
1207	138	146	0	2	0	0	0.000000000	2.54	0	0	0	0.000000000	0.000000000	
1231	71	253	1	4	0	0	0.000000000	1.55	0	0	0	0.000000000	0.000000000	
1237	138	254	0	2	0	0	0.000000000	2.60	0	0	0	0.000000000	0.000000000	
1289	218	296	1	4	0	0	0.000000000	1.51	0	0	0	0.000000000	0.000000000	
1302	42	48	1	4	0	0	0.000000000	2.55	0	0	0	0.000000000	0.000000000	
1311	20	152	0	2	0	0	0.000000000	3.00	0	0	0	0.000000000	0.000000000	
1311	20	152	1	4	0	0	0.000000000	2.52	0	0	0	0.000000000	0.000000000	
1331	218	83	1	4	0	0	0.000000000	1.51	0	0	0	0.000000000	0.000000000	
1355	218	220	1	4	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
1431	42	31	1	4	0	0	0.000000000	1.01	0	0	0	0.000000000	0.000000000	
1519	191	152	0	2	0	0	0.000000000	1.00	0	0	0	0.000000000	0.000000000	
1519	191	152	1	4	0	0	0.000000000	2.48	0	0	0	0.000000000	0.000000000	
