instance	elapsed	cells	deep	floors	proven	revoked	timeout	lb_rank	start_rank
setA-01	0.00	95	95	9	0	0	false	929383	1000000
setA-02	0.01	139	100	16	0	0	false	548578	1098078
setA-03	0.02	100	100	16	0	0	false	437986	1000001
setA-04	0.02	333	100	22	0	0	false	408062	1000000
setA-05	0.09	438	100	26	0	0	false	204985	999986
setA-06	0.07	785	100	0	0	0	false	0	1000000
setA-07	0.10	749	100	52	0	0	false	907989	1000000
setA-08	0.22	724	100	10	0	0	false	318903	1000000
setA-09	0.22	769	100	75	0	0	false	849650	1000000
setA-10	0.19	1432	100	0	0	0	false	0	1000000
setA-11	0.48	1259	100	96	0	0	false	785788	1000000
setA-12	0.32	1208	100	25	0	0	false	879872	1000110
setA-13	0.34	1741	100	0	0	0	false	0	999999
setA-14	0.54	1574	100	20	0	0	false	493684	1000000
setA-15	0.85	1650	100	130	0	0	false	898695	1000000
setA-16	0.81	2488	100	0	0	0	false	0	999999
setA-17	1.04	2172	100	56	0	0	false	424192	1000075
setA-18	1.18	2359	100	178	0	0	false	999998	999998
setA-19	0.78	3392	100	0	0	0	false	0	999999
setA-20	2.43	3473	100	222	0	0	false	991312	999999
setB-01	1.23	5166	100	384	0	0	false	141921	999998
setB-02	4.35	22670	100	1017	0	0	false	1000000	1000000
setB-03	3.86	14971	100	1348	0	0	false	1000000	1000000
setB-04	2.93	18209	100	9	0	0	false	402750	1000000
setB-05	5.44	4528	100	140	0	0	false	488837	1000000
setB-06	9.01	20522	100	1999	0	0	false	1000000	1000000
setB-07	6.01	25822	100	15	0	0	false	664909	1000000
setB-08	15.14	36651	54	2795	0	0	true	1000001	1000001
setB-09	15.01	27504	82	2054	0	0	true	1000001	1000001
setB-10	15.02	18348	87	413	0	0	true	992426	1000000
setB-11	15.34	40869	37	103	0	0	true	363609	1000000
setB-12	15.19	27076	45	153	0	0	true	216874	1000000
