instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref	secs	solves	hop_queries	hop_computed
setA-01	15	929383	39	true	1	160	2	591378	551952	4.5	83	13775	13775
setA-04	20	581237	29	true	10	500	11	350031	337894	16.3	144	41267	41267
setA-06	48	101408	10	true	0	1000	1	101408	98591	90.3	147	168948	168948
setA-10	49	152173	0	true	0	1932	1	152173	71739	90.4	104	130786	130786
setA-13	49	42735	11	true	0	2000	1	42735	41025	91.1	61	122354	122354
setA-15	42	898695	54	true	18	2500	19	350868	337125	29.3	142	41484	41484
setA-16	13	143442	9	true	0	2904	1	143442	44262	92.6	13	81296	81296
setA-19	9	147072	6	true	0	3996	1	147072	46838	104.2	9	63618	63618
